股票名称,周期,时间,是否命中,命中策略,策略状态摘要,图
RKLB,2h,2026-03-08 14:15:05,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(already_active) | 紫色卖出:no_hit(template_miss),
RKLB,3h,2026-03-08 14:15:58,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
RKLB,4h,2026-03-08 14:16:27,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),
RKLZ,1h,2026-03-08 14:17:32,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(already_active) | 紫色卖出:no_hit(template_miss),
RKLZ,2h,2026-03-08 14:18:06,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
RKLZ,3h,2026-03-08 14:18:23,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(already_active) | 紫色卖出:no_hit(template_miss),
RKLZ,4h,2026-03-08 14:18:49,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(already_active) | 紫色卖出:no_hit(template_miss),
RZLV,1h,2026-03-08 14:19:53,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
RZLV,2h,2026-03-08 14:20:40,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
RZLV,3h,2026-03-08 14:20:58,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(already_active) | 紫色卖出:no_hit(template_miss),
RZLV,4h,2026-03-08 14:21:33,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
SOXS,1h,2026-03-08 14:22:23,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
SOXS,2h,2026-03-08 14:23:00,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
SOXS,3h,2026-03-08 14:23:30,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
SOXS,4h,2026-03-08 14:23:56,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(purple_ratio_low) | 紫色卖出:no_hit(template_miss),
STM,1h,2026-03-08 14:24:40,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
